week_start,rank,gateway_id,score,reason,n_meters_installed,site_type,region,avg_read_success,total_meters_expected,total_meters_read,overall_read_success
2026-02-02,1,0A2778A31BE3,43.0,43 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,140,Gebäude,Hessen,89.69780219780219,3640.0,3265.0,89.6978021978022
2026-02-02,2,0E1B6F4DBA34,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,192,Gebäude,Baden-Württemberg,86.97916666666667,4992.0,4342.0,86.97916666666666
2026-02-02,3,06F49BD8F572,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,149,Außenmast,Sachsen,72.04439855446567,3874.0,2791.0,72.04439855446567
2026-02-02,4,064AED1EC0AA,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,195,Heizraum,Nordrhein-Westfalen,85.7199211045365,5070.0,4346.0,85.7199211045365
2026-02-02,5,0EF023E6452D,23.0,23 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,123,Gebäude,Nordrhein-Westfalen,89.02439024390243,3198.0,2847.0,89.02439024390245
2026-02-02,6,0A6324E3E043,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,143,Kellerraum,Bayern,89.2684238838085,3718.0,3319.0,89.2684238838085
2026-02-02,7,0A4E33E2692B,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,170,Schaltschrank,Nordrhein-Westfalen,75.18099547511312,4420.0,3323.0,75.18099547511312
2026-02-02,8,02EBC6CD4398,20.0,20 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,109,Außenmast,Baden-Württemberg,92.13126323218066,2834.0,2611.0,92.13126323218066
2026-02-02,9,0AA473D2FC17,20.0,20 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,202,Schaltschrank,Hessen,75.41888804265042,5252.0,3961.0,75.41888804265042
2026-02-02,10,0A7AC5BDAF86,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,305,Gebäude,Baden-Württemberg,62.64817150063051,7930.0,4968.0,62.64817150063051
2026-02-02,11,0EE09EDA649F,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,259,Außenmast,Baden-Württemberg,87.45173745173746,6734.0,5889.0,87.45173745173746
2026-02-02,12,06FFEC2EFA5E,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,249,Gebäude,Nordrhein-Westfalen,80.39851714550511,6474.0,5205.0,80.3985171455051
2026-02-02,13,0A1FB1C98A92,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,131,Gebäude,Nordrhein-Westfalen,71.87316500293599,3406.0,2448.0,71.87316500293599
2026-02-02,14,06F2CDBD2C41,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,150,Schaltschrank,Hessen,77.64102564102565,3900.0,3028.0,77.64102564102564
2026-02-02,15,0A3528D089D9,18.0,18 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,166,Schaltschrank,Nordrhein-Westfalen,93.37349397590361,4316.0,4030.0,93.37349397590361
2026-02-09,1,0A68F38A6ACF,40.0,40 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,78,Schaltschrank,Bayern,69.03353057199212,2028.0,1400.0,69.0335305719921
2026-02-09,2,0228A99EE35A,34.0,34 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,121,Außenmast,Niedersachsen,92.91163382072475,3146.0,2923.0,92.91163382072473
2026-02-09,3,0A3983033084,24.0,24 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,184,Gebäude,Baden-Württemberg,89.65301003344482,4784.0,4289.0,89.65301003344482
2026-02-09,4,0AA296FF247D,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,273,Schaltschrank,Nordrhein-Westfalen,89.29275852352777,7098.0,6338.0,89.29275852352775
2026-02-09,5,0A1FB1C98A92,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,131,Gebäude,Nordrhein-Westfalen,71.87316500293599,3406.0,2448.0,71.87316500293599
2026-02-09,6,06D6B7018E15,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,306,Gebäude,Niedersachsen,92.09401709401709,7956.0,7327.0,92.09401709401709
2026-02-09,7,02097AB58D3C,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,315,Gebäude,Baden-Württemberg,90.68376068376068,8190.0,7427.0,90.68376068376068
2026-02-09,8,0A6324E3E043,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on reboot_cnt,143,Kellerraum,Bayern,89.2684238838085,3718.0,3319.0,89.2684238838085
2026-02-09,9,0A71A6F9D6C6,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,279,Heizraum,Hessen,93.45188861317894,7254.0,6779.0,93.45188861317894
2026-02-09,10,0E9DC914D8DF,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,151,Heizraum,Bayern,91.08507386653082,3926.0,3576.0,91.08507386653082
2026-02-09,11,0A4E33E2692B,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,170,Schaltschrank,Nordrhein-Westfalen,75.18099547511312,4420.0,3323.0,75.18099547511312
2026-02-09,12,06D84598CCB4,18.0,18 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,122,Kellerraum,Nordrhein-Westfalen,85.46658259773014,3172.0,2711.0,85.46658259773014
2026-02-09,13,0A7AC5BDAF86,17.0,17 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,305,Gebäude,Baden-Württemberg,62.64817150063051,7930.0,4968.0,62.64817150063051
2026-02-09,14,0230D261A1CD,16.0,16 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,240,Gebäude,Niedersachsen,78.97435897435898,6240.0,4928.0,78.97435897435898
2026-02-09,15,06787526FEB3,16.0,16 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,47,Gebäude,Nordrhein-Westfalen,76.92307692307692,1222.0,940.0,76.92307692307693
2026-02-16,1,0A4673793B3E,38.0,38 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,549,Außenmast,Sachsen,96.09780019616086,14274.0,13717.0,96.09780019616085
2026-02-16,2,0228A99EE35A,35.0,35 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on reboot_cnt,121,Außenmast,Niedersachsen,92.91163382072475,3146.0,2923.0,92.91163382072473
2026-02-16,3,0AA296FF247D,32.0,32 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,273,Schaltschrank,Nordrhein-Westfalen,89.29275852352777,7098.0,6338.0,89.29275852352775
2026-02-16,4,065B928716CD,31.0,31 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,108,Außenmast,Baden-Württemberg,88.67521367521368,2808.0,2490.0,88.67521367521367
2026-02-16,5,0A68F38A6ACF,30.0,30 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,78,Schaltschrank,Bayern,69.03353057199212,2028.0,1400.0,69.0335305719921
2026-02-16,6,02D49A34B2FE,29.0,29 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on reboot_cnt,418,Gebäude,Bayern,72.8744939271255,10868.0,7920.0,72.8744939271255
2026-02-16,7,0A4E33E2692B,25.0,25 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on reboot_cnt,170,Schaltschrank,Nordrhein-Westfalen,75.18099547511312,4420.0,3323.0,75.18099547511312
2026-02-16,8,0E69C64B6E57,25.0,25 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,184,Schaltschrank,Sachsen,93.10200668896321,4784.0,4454.0,93.10200668896321
2026-02-16,9,0A6324E3E043,24.0,24 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,143,Kellerraum,Bayern,89.2684238838085,3718.0,3319.0,89.2684238838085
2026-02-16,10,06F170E6BB03,23.0,23 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,168,Gebäude,Bayern,95.23809523809523,168.0,160.0,95.23809523809523
2026-02-16,11,0A68DF0B3D07,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,146,Heizraum,Bayern,94.67860906217071,3796.0,3594.0,94.67860906217071
2026-02-16,12,06238EE3BE6C,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on reboot_cnt,228,Gebäude,Nordrhein-Westfalen,92.84750337381917,5928.0,5504.0,92.84750337381917
2026-02-16,13,0A7AAFDD9E11,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,248,Heizraum,Hessen,80.6606699751861,6448.0,5201.0,80.66066997518611
2026-02-16,14,0230D261A1CD,20.0,20 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,240,Gebäude,Niedersachsen,78.97435897435898,6240.0,4928.0,78.97435897435898
2026-02-16,15,060EE3CB4779,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,69,Gebäude,Nordrhein-Westfalen,81.77257525083611,1794.0,1467.0,81.77257525083613
2026-02-23,1,0228A99EE35A,39.0,39 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,121,Außenmast,Niedersachsen,92.91163382072475,3146.0,2923.0,92.91163382072473
