week_start,rank,gateway_id,score,reason,read_success_rate,read_failure_rate,field_visits,problems_fixed,technician_hours,evidence_score,new_rank
2026-02-02,1,0A2778A31BE3,43.0,43 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,89.69780219780219,10.30219780219781,1.0,0.0,1.87,45.56043956043956,1
2026-02-02,3,06F49BD8F572,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,72.04439855446567,27.955601445534327,4.0,1.0,6.13,34.09112028910687,2
2026-02-02,4,064AED1EC0AA,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,85.7199211045365,14.280078895463504,4.0,3.0,8.31,32.3560157790927,3
2026-02-02,2,0E1B6F4DBA34,26.0,26 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,86.97916666666667,13.020833333333329,4.0,1.0,5.92,31.104166666666664,4
2026-02-02,7,0A4E33E2692B,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,75.18099547511312,24.81900452488688,4.0,1.0,6.2,29.463800904977376,5
2026-02-02,13,0A1FB1C98A92,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,71.87316500293599,28.12683499706401,5.0,3.0,10.26,28.6253669994128,6
2026-02-02,10,0A7AC5BDAF86,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,62.64817150063051,37.35182849936949,3.0,1.0,3.2800000000000002,28.4703656998739,7
2026-02-02,5,0EF023E6452D,23.0,23 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,89.02439024390243,10.975609756097569,2.0,2.0,4.67,27.195121951219512,8
2026-02-02,9,0AA473D2FC17,20.0,20 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,75.41888804265042,24.581111957349577,2.0,1.0,4.1899999999999995,26.416222391469915,9
2026-02-02,6,0A6324E3E043,22.0,22 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,89.2684238838085,10.731576116191505,2.0,2.0,5.8,26.1463152232383,10
2026-02-02,12,06FFEC2EFA5E,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,80.39851714550511,19.60148285449489,3.0,3.0,5.33,25.920296570898977,11
2026-02-02,14,06F2CDBD2C41,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,77.64102564102565,22.35897435897435,3.0,1.0,5.49,25.47179487179487,12
2026-02-02,11,0EE09EDA649F,19.0,19 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,87.45173745173746,12.548262548262542,3.0,0.0,3.8,23.009652509652508,13
2026-02-02,8,02EBC6CD4398,20.0,20 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,92.13126323218066,7.8687367678193425,1.0,0.0,1.02,22.073747353563867,14
2026-02-02,15,0A3528D089D9,18.0,18 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,93.37349397590361,6.626506024096386,0.0,0.0,0.0,19.325301204819276,15
2026-02-09,1,0A68F38A6ACF,40.0,40 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,69.03353057199212,30.966469428007883,2.0,1.0,3.77,47.69329388560158,1
2026-02-09,2,0228A99EE35A,34.0,34 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on disconnection_cnt,92.91163382072475,7.088366179275255,0.0,0.0,0.0,35.41767323585505,2
2026-02-09,5,0A1FB1C98A92,21.0,21 hour(s) beyond 3 sigma of this gateway's own 28-day baseline in the last 7 days; first breach on offline_duration_sec,71.87316500293599,28.12683499706401,5.0,3.0,10.26,30.6253669994128,3
